output the times of ivo memory card data collection for horry

 ((11-03  10:50 am))  5126144
 ((11-04  11:27 am))  5101542
 ((11-04  11:27 am))  5102666
 ((11-04  11:27 am))  5103022
 ((11-04  11:27 am))  5103948
 ((11-04  11:27 am))  5104064
 ((11-04  11:27 am))  5104848
 ((11-04  11:27 am))  5104997
 ((11-04  11:27 am))  5104999
 ((11-04  11:27 am))  5105235
 ((11-04  11:27 am))  5105360
 ((11-04  11:27 am))  5105613
 ((11-04  11:27 am))  5106246
 ((11-04  11:27 am))  5106491
 ((11-04  11:27 am))  5106608
 ((11-04  11:27 am))  5106798
 ((11-04  11:27 am))  5106915
 ((11-04  11:27 am))  5107382
 ((11-04  11:27 am))  5108328
 ((11-04  11:27 am))  5109127
 ((11-04  11:27 am))  5109542
 ((11-04  11:27 am))  5110987
 ((11-04  11:27 am))  5111150
 ((11-04  11:27 am))  5111151
 ((11-04  11:27 am))  5111168
 ((11-04  11:27 am))  5111659
 ((11-04  11:27 am))  5112265
 ((11-04  11:28 am))  5113532
 ((11-04  11:28 am))  5113577
 ((11-04  11:28 am))  5113678
 ((11-04  11:28 am))  5113802
 ((11-04  11:28 am))  5114217
 ((11-04  11:28 am))  5114443
 ((11-04  11:28 am))  5114570
 ((11-04  11:28 am))  5114990
 ((11-04  11:28 am))  5115369
 ((11-04  11:28 am))  5116710
 ((11-04  11:28 am))  5116979
 ((11-04  11:28 am))  5117980
 ((11-04  11:28 am))  5118035
 ((11-04  11:28 am))  5118048
 ((11-04  11:28 am))  5118101
 ((11-04  11:28 am))  5118200
 ((11-04  11:28 am))  5118205
 ((11-04  11:28 am))  5118240
 ((11-04  11:28 am))  5118322
 ((11-04  11:28 am))  5118388
 ((11-04  11:28 am))  5118414
 ((11-04  11:28 am))  5118415
 ((11-04  11:28 am))  5118429
 ((11-04  11:28 am))  5118590
 ((11-04  11:28 am))  5118592
 ((11-04  11:28 am))  5118614
 ((11-04  11:28 am))  5118620
 ((11-04  11:28 am))  5118695
 ((11-04  11:28 am))  5118735
 ((11-04  11:28 am))  5118842
 ((11-04  11:28 am))  5118862
 ((11-04  11:28 am))  5118974
 ((11-04  11:28 am))  5119018
 ((11-04  11:28 am))  5119070
 ((11-04  11:28 am))  5119109
 ((11-04  11:28 am))  5119110
 ((11-04  11:28 am))  5119235
 ((11-04  11:28 am))  5119263
 ((11-04  11:28 am))  5119264
 ((11-04  11:28 am))  5119570
 ((11-04  11:28 am))  5119581
 ((11-04  11:28 am))  5119617
 ((11-04  11:28 am))  5119818
 ((11-04  11:28 am))  5119820
 ((11-04  11:28 am))  5119886
 ((11-04  11:28 am))  5119904
 ((11-04  11:28 am))  5119972
 ((11-04  11:28 am))  5120031
 ((11-04  11:28 am))  5120128
 ((11-04  11:28 am))  5120152
 ((11-04  11:28 am))  5120228
 ((11-04  11:28 am))  5120426
 ((11-04  11:28 am))  5120566
 ((11-04  11:28 am))  5120575
 ((11-04  11:28 am))  5120616
 ((11-04  11:28 am))  5120741
 ((11-04  11:28 am))  5120771
 ((11-04  11:29 am))  5120785
 ((11-04  11:29 am))  5120821
 ((11-04  11:29 am))  5120871
 ((11-04  11:29 am))  5120963
 ((11-04  11:29 am))  5120996
 ((11-04  11:29 am))  5121026
 ((11-04  11:29 am))  5121038
 ((11-04  11:29 am))  5121108
 ((11-04  11:29 am))  5121159
 ((11-04  11:29 am))  5121192
 ((11-04  11:29 am))  5121208
 ((11-04  11:29 am))  5121235
 ((11-04  11:29 am))  5121265
 ((11-04  11:29 am))  5121280
 ((11-04  11:29 am))  5121289
 ((11-04  11:29 am))  5121362
 ((11-04  11:29 am))  5121390
 ((11-04  11:29 am))  5121457
 ((11-04  11:29 am))  5121479
 ((11-04  11:29 am))  5121502
 ((11-04  11:29 am))  5121522
 ((11-04  11:29 am))  5121540
 ((11-04  11:29 am))  5121592
 ((11-04  11:29 am))  5121605
 ((11-04  11:29 am))  5121612
 ((11-04  11:29 am))  5121658
 ((11-04  11:29 am))  5121680
 ((11-04  11:29 am))  5121725
 ((11-04  11:29 am))  5121777
 ((11-04  11:29 am))  5121802
 ((11-04  11:29 am))  5121820
 ((11-04  11:29 am))  5121822
 ((11-04  11:29 am))  5121995
 ((11-04  11:29 am))  5122005
 ((11-04  11:29 am))  5122107
 ((11-04  11:29 am))  5122114
 ((11-04  11:29 am))  5122195
 ((11-04  11:29 am))  5122200
 ((11-04  11:29 am))  5122355
 ((11-04  11:29 am))  5122386
 ((11-04  11:29 am))  5122417
 ((11-04  11:29 am))  5122468
 ((11-04  11:29 am))  5122471
 ((11-04  11:29 am))  5122550
 ((11-04  11:29 am))  5122562
 ((11-04  11:29 am))  5122568
 ((11-04  11:29 am))  5122616
 ((11-04  11:29 am))  5122714
 ((11-04  11:29 am))  5122717
 ((11-04  11:29 am))  5122737
 ((11-04  11:29 am))  5122756
 ((11-04  11:29 am))  5122808
 ((11-04  11:29 am))  5122866
 ((11-04  11:29 am))  5122907
 ((11-04  11:29 am))  5122924
 ((11-04  11:29 am))  5122927
 ((11-04  11:29 am))  5122956
 ((11-04  11:30 am))  5122999
 ((11-04  11:30 am))  5123044
 ((11-04  11:30 am))  5123086
 ((11-04  11:30 am))  5123191
 ((11-04  11:30 am))  5123224
 ((11-04  11:30 am))  5123230
 ((11-04  11:30 am))  5123330
 ((11-04  11:30 am))  5123333
 ((11-04  11:30 am))  5123336
 ((11-04  11:30 am))  5123343
 ((11-04  11:30 am))  5123372
 ((11-04  11:30 am))  5123418
 ((11-04  11:30 am))  5123428
 ((11-04  11:30 am))  5123433
 ((11-04  11:30 am))  5123446
 ((11-04  11:30 am))  5123459
 ((11-04  11:30 am))  5123495
 ((11-04  11:30 am))  5123498
 ((11-04  11:30 am))  5123560
 ((11-04  11:30 am))  5123565
 ((11-04  11:30 am))  5123620
 ((11-04  11:30 am))  5123682
 ((11-04  11:30 am))  5123684
 ((11-04  11:30 am))  5123685
 ((11-04  11:30 am))  5123724
 ((11-04  11:30 am))  5123802
 ((11-04  11:30 am))  5123809
 ((11-04  11:30 am))  5123823
