Pct Ivo Count for horry
 PCT   IVO    PCTTOT     155     152 : RUNNINGTOTAL
0101 5101306       1       3       3 :       1 (ZORK PCTTOT-152) (ZORK PCTTOT-155)
0101 5124263     132     132     132 :     133
0101 5128601     115     115     115 :     248
0101 5132829     125     125     125 :     373
0101 5138324     136     136     136 :     509
PCT TOTAL                    ADRIAN 0101     509:     620 (      111) ZORK
0102 5126348     139     139     139 :     139
0102 5138519      93      93      93 :     232
PCT TOTAL                 ALLSBROOK 0102     232:     232
0103 5101306       1       3       3 :       1 (ZORK PCTTOT-152) (ZORK PCTTOT-155)
0103 5122355      18      18      18 :      19
0103 5128562      46      46      46 :      65
PCT TOTAL            ATLANTIC_BEACH 0103      65:      64 (       -1) ZORK
0104 5122568     142     142     142 :     142
0104 5123802     149     149     149 :     291
0104 5123993     158     158     158 :     449
0104 5133110     134     134     134 :     583
PCT TOTAL                     AYNOR 0104     583:     583
0105 5120741     122     122     122 :     122
0105 5128013     111     111     111 :     233
PCT TOTAL                   BAYBORO 0105     233:     357 (      124) ZORK
0106 5119263     136     136     136 :     136
0106 5122616      47      47      47 :     183
0106 5124318     112     112     112 :     295
0106 5125531     132     132     132 :     427
0106 5133000     144     144     144 :     571
0106 5134301     114     114     114 :     685
PCT TOTAL               BROOKSVILLE 0106     685:    1086 (      401) ZORK
0107 5127310      98      98      98 :      98
PCT TOTAL                  BROWNWAY 0107      98:     435 (      337) ZORK
0108 5103022     119     119     119 :     119
0108 5105613     119     119     119 :     238
0108 5122195     148     148     148 :     386
0108 5123724      88      88      88 :     474
0108 5124097     138     138     138 :     612
0108 5124228     134     134     134 :     746
0108 5124325     109     109     109 :     855
0108 5125271      80      80      80 :     935
0108 5125850     133     133     133 :    1068
0108 5126084      94      94      94 :    1162
0108 5132466     143     143     143 :    1305
0108 5138070     116     116     116 :    1421
PCT TOTAL                BURGESS_#1 0108    1421:    1421
0109 5119570     161     161     161 :     161
0109 5121822     151     151     151 :     312
0109 5122756     135     135     135 :     447
0109 5126458     135     135     135 :     582
0109 5131844      76      76      76 :     658
0109 5185389     141     141     141 :     799
PCT TOTAL                BURGESS_#2 0109     799:    1034 (      235) ZORK
0110 5101306       1       3       3 :       1 (ZORK PCTTOT-152) (ZORK PCTTOT-155)
0110 5116979     110     110     110 :     111
0110 5119820     106     106     106 :     217
0110 5125014     116     116     116 :     333
0110 5129211     108     108     108 :     441
0110 5131822      42      42      42 :     483
0110 5131986     107     107     107 :     590
0110 5136157     117     117     117 :     707
PCT TOTAL        CAROLINA_FOREST_#1 0110     707:     816 (      109) ZORK
0111 5126938      89      89      89 :      89
0111 5127500     104     104     104 :     193
0111 5144022     101     101     101 :     294
0111 5187743     108     108     108 :     402
PCT TOTAL        CAROLINA_FOREST_#2 0111     402:     512 (      110) ZORK
0112 5128009     141     141     141 :     141
0112 5136478     147     147     147 :     288
PCT TOTAL               CEDAR_GROVE 0112     288:     288
0113 5120426     149     149     149 :     149
0113 5121280     126     126     126 :     275
0113 5132323       2       2       2 :     277
0113 5133024     128     128     128 :     405
0113 5142634     126     126     126 :     531
PCT TOTAL           CHERRY_GROVE_#1 0113     531:     531
0114 5118205     128     128     128 :     128
0114 5120963     159     159     159 :     287
0114 5122468     162     162     162 :     449
0114 5135561     157     157     157 :     606
0114 5137885     156     156     156 :     762
PCT TOTAL           CHERRY_GROVE_#2 0114     762:     762
0115 5118429      99      99      99 :      99
0115 5126677     111     111     111 :     210
0115 5127457     117     117     117 :     327
PCT TOTAL          COASTAL_CAROLINA 0115     327:     517 (      190) ZORK
0116 5121457      98      98      98 :      98
0116 5124071     101     101     101 :     199
0116 5125331     110     110     110 :     309
0116 5132494      79      79      79 :     388
PCT TOTAL           COASTAL_LANE_#1 0116     388:     388
0117 5127690      83      83      83 :      83
0117 5131136     103     103     103 :     186
0117 5134687     104     104     104 :     290
PCT TOTAL           COASTAL_LANE_#2 0117     290:     290
0118 5125174      76      76      76 :      76
0118 5128647      91      91      91 :     167
PCT TOTAL              COOL_SPRINGS 0118     167:     167
0119 5126758     120     120     120 :     120
0119 5133021     128     128     128 :     248
PCT TOTAL                   CRESENT 0119     248:     555 (      307) ZORK
0120 5116710     123     123     123 :     123
0120 5132082     132     132     132 :     255
0120 5133731     127     127     127 :     382
PCT TOTAL                     DAISY 0120     382:     382
0121 5118735     133     133     133 :     133
0121 5120128     135     135     135 :     268
0121 5123191     130     130     130 :     398
0121 5124618     108     108     108 :     506
0121 5124872      98      98      98 :     604
0121 5126031      83      83      83 :     687
0121 5126237     129     129     129 :     816
0121 5129535     115     115     115 :     931
0121 5143810     137     137     137 :    1068
PCT TOTAL                 DEERFIELD 0121    1068:    1068
0122 5125532     120     120     120 :     120
0122 5127984     122     122     122 :     242
PCT TOTAL                  DOGBLUFF 0122     242:     328 (       86) ZORK
0123 5118200      76      76      76 :      76
0123 5123809     127     127     127 :     203
0123 5133922     138     138     138 :     341
PCT TOTAL                   DOGWOOD 0123     341:     492 (      151) ZORK
0124 5124490     161     161     161 :     161
0124 5124724     162     162     162 :     323
0124 5130802     128     128     128 :     451
0124 5133121     160     160     160 :     611
PCT TOTAL                  DUNES_#1 0124     611:     912 (      301) ZORK
0125 5111659     122     122     122 :     122
0125 5115369     127     127     127 :     249
0125 5119264      99      99      99 :     348
0125 5121026     103     103     103 :     451
0125 5122956     105     105     105 :     556
PCT TOTAL                  DUNES_#2 0125     556:     556
0126 5124176     103     103     103 :     103
0126 5128055     111     111     111 :     214
0126 5138630     130     130     130 :     344
PCT TOTAL                  DUNES_#3 0126     344:     469 (      125) ZORK
0127 5105360     116     116     116 :     116
0127 5122114     119     119     119 :     235
0127 5132349     117     117     117 :     352
PCT TOTAL               EAST_CONWAY 0127     352:     482 (      130) ZORK
0128 5122927     125     125     125 :     125
0128 5123498     116     116     116 :     241
0128 5124856     130     130     130 :     371
0128 5125369     133     133     133 :     504
0128 5128771     121     121     121 :     625
0128 5131962     109     109     109 :     734
0128 5142197     110     110     110 :     844
PCT TOTAL                EAST_LORIS 0128     844:     936 (       92) ZORK
0129 5125925     168     168     168 :     168
0129 5130669     158     158     158 :     326
0129 5133301     168     168     168 :     494
0129 5135985     144     144     144 :     638
PCT TOTAL                  EBENEZER 0129     638:     638
0130 5104848      84      84      84 :      84
0130 5118035      82      82      82 :     166
0130 5118862     124     124     124 :     290
0130 5123560      84      84      84 :     374
