Pct-Contest-Candidate totals for horry

    401 0101 Adjutant_General Bob_Livingston 
     52 0101 Amendment_1 No 
    440 0101 Amendment_1 Yes 
    100 0101 Amendment_2 No 
    384 0101 Amendment_2 Yes 
    184 0101 Amendment_3 No 
    296 0101 Amendment_3 Yes 
    166 0101 Amendment_4 No 
    308 0101 Amendment_4 Yes 
    337 0101 Attorney_General Alan_Wilson 
     11 0101 Attorney_General Leslie_Minerd 
    149 0101 Attorney_General Matthew_Richardson 
    353 0101 Board_of_Education_Chairman Will_Garland 
      1 0101 Board_of_Education_Chairman W/I_BENJY_COOK 
    130 0101 Board_of_Education_Chairman Subhash_C_Saxena 
     61 0101 CCL0007_County_Council_District_7 James_R_Frazier 
    168 0101 CCL0011_County_Council_District_11 Al_Allen 
      1 0101 CCL0011_County_Council_District_11 W/I_DEAN 
     93 0101 CCL0011_County_Council_District_11 R_A_Johnson 
      1 0101 CCL0011_County_Council_District_11 W/I_SETH_WILLIAMS 
     11 0101 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
    355 0101 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
      8 0101 CONG01_U.S._House_of_Representatives_Dis Jimmy_Wood 
    107 0101 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
      3 0101 CONG01_U.S._House_of_Representatives_Dis Robert_Dobbs 
      1 0101 CONG01_U.S._House_of_Representatives_Dis W/I_BENJY_COOK 
      4 0101 CONG01_U.S._House_of_Representatives_Dis Keith_Blandford 
      5 0101 CONG01_U.S._House_of_Representatives_Dis M_E_Mac_McCullough 
    370 0101 Commissioner_of_Agriculture Hugh_Weathers 
    120 0101 Commissioner_of_Agriculture Tom_E_Elliott 
    140 0101 Comptroller_General Robert_Barber 
    353 0101 Comptroller_General Richard_A_Eckstrom 
    367 0101 County_Council_Chairman Tom_Rice 
    115 0101 County_Council_Chairman Vincent_Lehotsky 
    333 0101 Governor Nikki_R_Haley 
    157 0101 Governor Vincent_A_Sheheen 
      1 0101 Governor W/I_SETH_WILLIAMS 
      6 0101 Governor Morgan_Bruce_Reeves 
      5 0101 Governor Morgan_Bruce_Reeves  
     89 0101 HSE0058_State_House_of_Representatives_D Butch_Johnson 
    255 0101 HSE0058_State_House_of_Representatives_D Liston_D_Barfield 
    118 0101 HSE0105_State_House_of_Representatives_D George_M_Hearn 
      1 0101 HSE0105_State_House_of_Representatives_D W/I_BENJY_COOK 
    343 0101 Lieutenant_Governor Ken_Ard 
    145 0101 Lieutenant_Governor Ashley_Cooper 
      1 0101 Lieutenant_Governor W/I_BENJY_COOK 
    410 0101 Probate_Judge Deirdre_W_Edmonds 
      1 0101 Probate_Judge W/I_JOHN_CORCORAN 
    240 0101 Public_Transportation_Referendum No 
    246 0101 Public_Transportation_Referendum Yes 
     60 0101 SCH0007_Board_of_Education_District_7 Paul_B_Hudson 
     93 0101 SCH0010_Board_of_Education_District_10 Neil_James 
     25 0101 SCH0010_Board_of_Education_District_10 Lucian_N_Norton_Jr 
      1 0101 STRAIGHT_PARTY Green 
     67 0101 STRAIGHT_PARTY Democratic 
    165 0101 STRAIGHT_PARTY Republican 
      7 0101 STRAIGHT_PARTY Independence 
      2 0101 STRAIGHT_PARTY United_Citizens 
      5 0101 STRAIGHT_PARTY Working_Families 
    365 0101 Secretary_of_State Mark_Hammond 
    127 0101 Secretary_of_State Marjorie_L_Johnson 
    258 0101 Soil__and_Water_District_Commission Glenn_Winburn 
      1 0101 Soil__and_Water_District_Commission W/I_SETH_WILLIAMS 
    271 0101 Soil__and_Water_District_Commission Matthew_Gene_Johnson 
      1 0101 Soil__and_Water_District_Commission W/I_MORRIS_RICHARDSON 
    416 0101 Solicitor_Circuit_15 Greg_Hembree 
      1 0101 Solicitor_Circuit_15 W/I_BEN_TURNER 
      1 0101 Solicitor_Circuit_15 W/I_RALPH_WILSON 
    332 0101 State_Superintendent_of_Education Mick_Zais 
     14 0101 State_Superintendent_of_Education Tim_Moultrie 
     13 0101 State_Superintendent_of_Education Tony_Fayyazi 
      7 0101 State_Superintendent_of_Education Doretha_A_Bull 
    117 0101 State_Superintendent_of_Education Frank_Holleman 
      1 0101 State_Superintendent_of_Education W/I_RA_JOHNSON 
    405 0101 State_Treasurer Curtis_Loftis 
      1 0101 State_Treasurer W/I_ANDREW_BOWER 
      2 0101 State_Treasurer W/I_DARLENE_CANIPE 
    370 0101 U.S._Senate Jim_DeMint 
     23 0101 U.S._Senate Tom_Clements 
     98 0101 U.S._Senate Alvin_M_Greene 
      1 0101 U.S._Senate W/I_NATHLIE_DUPREE 
      2 0101 U.S._Senate W/I_NATHALIE_DUPREE 
      1 0101 U.S._Senate W/I_WILLIAM_P_COLLINS 
    194 0102 Adjutant_General Bob_Livingston 
     20 0102 Amendment_1 No 
    204 0102 Amendment_1 Yes 
     30 0102 Amendment_2 No 
    194 0102 Amendment_2 Yes 
     69 0102 Amendment_3 No 
    148 0102 Amendment_3 Yes 
     53 0102 Amendment_4 No 
    164 0102 Amendment_4 Yes 
    172 0102 Attorney_General Alan_Wilson 
      7 0102 Attorney_General Leslie_Minerd 
     48 0102 Attorney_General Matthew_Richardson 
    186 0102 Board_of_Education_Chairman Will_Garland 
      1 0102 Board_of_Education_Chairman W/I_RA_JOHNSON 
     38 0102 Board_of_Education_Chairman Subhash_C_Saxena 
      4 0102 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
    175 0102 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
      2 0102 CONG01_U.S._House_of_Representatives_Dis Jimmy_Wood 
     36 0102 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
      6 0102 CONG01_U.S._House_of_Representatives_Dis Robert_Dobbs 
      1 0102 CONG01_U.S._House_of_Representatives_Dis W/I_RA_JOHNSON 
      1 0102 CONG01_U.S._House_of_Representatives_Dis Keith_Blandford 
    183 0102 Commissioner_of_Agriculture Hugh_Weathers 
     42 0102 Commissioner_of_Agriculture Tom_E_Elliott 
     48 0102 Comptroller_General Robert_Barber 
    175 0102 Comptroller_General Richard_A_Eckstrom 
    181 0102 County_Council_Chairman Tom_Rice 
      1 0102 County_Council_Chairman W/I_RA_JOHNSON 
     45 0102 County_Council_Chairman Vincent_Lehotsky 
    168 0102 Governor Nikki_R_Haley 
     56 0102 Governor Vincent_A_Sheheen 
      1 0102 Governor Morgan_Bruce_Reeves 
      4 0102 Governor Morgan_Bruce_Reeves  
    196 0102 HSE0105_State_House_of_Representatives_D George_M_Hearn 
      1 0102 HSE0105_State_House_of_Representatives_D W/I_RA_JOHNSON 
      1 0102 HSE0105_State_House_of_Representatives_D W/I_CAROL_COVINGTON 
    175 0102 Lieutenant_Governor Ken_Ard 
     48 0102 Lieutenant_Governor Ashley_Cooper 
    198 0102 Probate_Judge Deirdre_W_Edmonds 
      1 0102 Probate_Judge W/I_CAROL_COVINGTON 
    122 0102 Public_Transportation_Referendum No 
